,path_x,sentence
0,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18306624_7.mp3,en cualquier momento seremos arrastrados .
1,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18311027_5.mp3,"Más vale un ""toma"" que dos ""te daré""."
2,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18311055_9.mp3,"Amigos al prestar, enemigos al devolver."
3,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18311223_5.mp3,"el botoncito de rellamada , ¿ no ? no , no , no ..."
4,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18311233_7.mp3,Tenemos que mirar los servicios mínimos.
5,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18311408_5.mp3,una tapatía de quince años que vive aquí merito .
6,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18311723_10.mp3,yo siempre fui muy torpe eligiendo el momento .
7,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18312455_10.mp3,"Julia , Julia ."
8,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18313679_5.mp3,"A comer, beber, bailar y gozar que el mundo se va acabar."
9,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18315542_6.mp3,Tengo devoción por las ciruelas.
10,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18318133_6.mp3,"¡Es lento este programa, muy lento, no se puede aguantar!"
11,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18319375_7.mp3,¡ Qué alas tiene ! ¡ estupendo !
12,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18320784_10.mp3,a la par que formales y discretos .
13,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18321063_8.mp3,¿ va usted muy lejos ?
14,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18321420_10.mp3,es que las gafas que me hizo Julia
15,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18321484_7.mp3,capítulo veinte .
16,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18321486_5.mp3,pero cagando virutas . vamos .
17,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18321513_9.mp3,"Adiós, ¡cara bonita!"
18,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18321696_6.mp3,¡ me ha pillado !
19,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18321809_10.mp3,es en las letrinas . se ha cagado . ¡ se ha cagado !
20,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18322070_6.mp3,"Un momento . ¡ oh , no !"
21,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18322354_6.mp3,o cualquier otra cosa .
